dci,atc_class,usage_type,criticality_score
PARACETAMOL,N02B - Analgesiques,confort_otc,0.15
ATORVASTATINE,C10AA - Hypolipemiants,vital_chronique,0.55
ESOMEPRAZOLE,A02BC - IPP,essentiel_aigu,0.35
AMOXICILLINE+ACIDE CLAVULANIQUE,J01CR - Antibiotiques,essentiel_aigu,0.5
PREGABALINE,N03AX - Antiepileptiques,vital_chronique,0.5
AMOXICILLINE,J01CA - Antibiotiques,essentiel_aigu,0.45
ROSUVASTATINE,C10AA - Hypolipemiants,vital_chronique,0.55
GLIMEPIRIDE,A10BB - Antidiabetiques,vital_chronique,0.65
AMLODIPINE,C08CA - Antihypertenseurs,vital_chronique,0.55
CIPROFLOXACINE,J01MA - Antibiotiques,essentiel_aigu,0.45
IRBESARTAN+HYDROCHLOROTHIAZIDE,C09DA - Antihypertenseurs,vital_chronique,0.55
DICLOFENAC,M01AB - AINS,confort_otc,0.2
CHLORURE DE SODIUM,B05XA - Solutes electrolytiques,essentiel_aigu,0.5
OMEPRAZOLE,A02BC - IPP,essentiel_aigu,0.3
SILDENAFIL,G04BE - Dysfonction erectile,confort_otc,0.15
IBUPROFEN,M01AE - AINS,confort_otc,0.15
METFORMINE,A10BA - Antidiabetiques,vital_chronique,0.65
OLANZAPINE,N05AH - Antipsychotiques,vital_chronique,0.6
LEVOFLOXACINE,J01MA - Antibiotiques,essentiel_aigu,0.45
CELECOXIB,M01AH - AINS,confort_otc,0.15
TADALAFIL,G04BE - Dysfonction erectile,confort_otc,0.1
IRBESARTAN,C09CA - Antihypertenseurs,vital_chronique,0.5
AMLODIPINE+VALSARTAN,C09DB - Antihypertenseurs,vital_chronique,0.5
FLUCONAZOLE,J02AC - Antifongiques,essentiel_aigu,0.4
PHLOROGLUCINOL,A03AX - Antispasmodiques,confort_otc,0.1
AZITHROMYCINE,J01FA - Antibiotiques,essentiel_aigu,0.4
BISOPROLOL,C07AB - Beta-bloquants,vital_chronique,0.6
CAPTOPRIL,C09AA - IEC,vital_chronique,0.55
METRONIDAZOLE,J01XD - Antibiotiques,essentiel_aigu,0.4
LEVETIRACETAM,N03AX - Antiepileptiques,vital_chronique,0.7
APIXABAN,B01AF - Anticoagulants,vital_chronique,0.75
VALSARTAN,C09CA - Antihypertenseurs,vital_chronique,0.5
BETAMETHASONE,H02AB - Corticosteroides,essentiel_aigu,0.4
CLARITHROMYCINE,J01FA - Antibiotiques,essentiel_aigu,0.4
DEXAMETHASONE,H02AB - Corticosteroides,essentiel_aigu,0.45
GLUCOSE,B05CX - Solutes,essentiel_aigu,0.45
ACIDE FUSIDIQUE,D06AX - Antibiotiques topiques,essentiel_aigu,0.35
PRODUITS HOMEOPATHIQUES,N/A - Homeopathie,confort_otc,0.02
VALSARTAN+HYDROCHLOROTHIAZIDE,C09DA - Antihypertenseurs,vital_chronique,0.5
SIMVASTATINE,C10AA - Hypolipemiants,vital_chronique,0.5
DESLORATADINE,R06AX - Antihistaminiques,confort_otc,0.1
ESCITALOPRAM,N06AB - Antidepresseurs,vital_chronique,0.5
METHOTREXATE,L04AX/L01BA - Immunosuppresseur/Oncologie,vital_chronique,0.7
KETOPROFENE,M01AE - AINS,confort_otc,0.15
